id,host_id,host_is_superhost,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,amenities,price,number_of_reviews,review_scores_rating,availability_30,availability_365
1342636296445637689,674894903,f,East Village,Manhattan,40.72956580459036,-73.98942684449149,Entire rental unit,Entire home/apt,2,1.0,1.0,"[""Air conditioning"", ""Carbon monoxide alarm"", ""Wifi"", ""Smoke alarm"", ""Kitchen"", ""TV""]",$495.00,0,,30,365
40586085,149380359,f,Prospect-Lefferts Gardens,Brooklyn,40.65999,-73.96099,Private room in rental unit,Private room,2,,,"[""Free street parking"", ""Refrigerator"", ""Dishes and silverware"", ""Hangers"", ""Pets allowed"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Heating"", ""TV""]",,2,5.0,0,0
30594172,228879817,t,Flushing,Queens,40.74372189141004,-73.83450917793769,Private room in bungalow,Private room,2,1.0,1.0,"[""Oven"", ""Fire extinguisher"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Dining table"", ""Cooking basics"", ""Keypad"", ""Microwave"", ""Bread maker"", ""Hair dryer"", ""Self check-in"", ""Essentials"", ""Iron"", ""Bed linens"", ""Body soap"", ""Stove"", ""Heating"", ""Toaster"", ""Shower gel"", ""Cleaning products"", ""Clothing storage"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Hot water"", ""Wifi"", ""Smoke alarm"", ""Hot water kettle"", ""Kitchen"", ""Conditioner"", ""Private entrance"", ""Lock on bedroom door"", ""Refrigerator"", ""Hangers"", ""AC - split type ductless system"", ""Shampoo"", ""Room-darkening shades""]",$68.00,206,4.77,15,320
877620974568653457,859057,f,Bedford-Stuyvesant,Brooklyn,40.68719308571305,-73.95393584627894,Private room in townhouse,Private room,2,1.0,1.0,"[""Fire extinguisher"", ""First aid kit"", ""Luggage dropoff allowed"", ""Crib - available upon request"", ""Hair dryer"", ""Self check-in"", ""Essentials"", ""Long term stays allowed"", ""Body soap"", ""Backyard"", ""Lockbox"", ""Patio or balcony"", ""BBQ grill"", ""TV"", ""Washer"", ""Central heating"", ""High chair"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Hot water"", ""Dryer"", ""Smoke alarm"", ""Wifi"", ""Coffee maker"", ""Lock on bedroom door"", ""Outdoor dining area"", ""Refrigerator"", ""Hangers"", ""Shampoo""]",$180.00,14,5.0,30,365
15827516,102478101,f,Hell's Kitchen,Manhattan,40.76166,-73.99975,Entire rental unit,Entire home/apt,2,,1.0,"[""Kitchen"", ""Gym"", ""TV"", ""Air conditioning"", ""Pool"", ""Hangers"", ""Carbon monoxide alarm"", ""Elevator"", ""Dryer"", ""Hair dryer"", ""Smoke alarm"", ""Heating"", ""Wifi"", ""Shampoo"", ""Essentials"", ""Iron"", ""Washer""]",,4,5.0,0,0
9317779,30738895,f,East Village,Manhattan,40.72499,-73.98512,Private room in rental unit,Private room,2,,,"[""Lock on bedroom door"", ""First aid kit"", ""Air conditioning"", ""Hangers"", ""Wifi"", ""Smoke alarm"", ""Kitchen"", ""Essentials"", ""Heating""]",,0,,0,0
594914131275091113,49500419,t,East Flatbush,Brooklyn,40.65404,-73.91743,Entire rental unit,Entire home/apt,2,1.0,1.0,"[""Oven"", ""Laundromat nearby"", ""Fire extinguisher"", ""First aid kit"", ""Free washer \u2013 In unit"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Noise decibel monitors on property"", ""Cooking basics"", ""Dining table"", ""Coffee"", ""Shared backyard \u2013 Not fully fenced"", ""Microwave"", ""Hair dryer"", ""Self check-in"", ""Wine glasses"", ""Essentials"", ""Central air conditioning"", ""Iron"", ""Long term stays allowed"", ""Bed linens"", ""Body soap"", ""Dishwasher"", ""Electric stove"", ""Lockbox"", ""HDTV with standard cable"", ""Radiant heating"", ""Clothing storage: closet and dresser"", ""Central heating"", ""Free street parking"", ""Toaster"", ""Cleaning products"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Hot water"", ""Wifi"", ""Smoke alarm"", ""Coffee maker: Keurig coffee machine"", ""Kitchen"", ""Conditioner"", ""Private entrance"", ""Refrigerator"", ""Hangers"", ""Free dryer \u2013 In unit"", ""Baking sheet"", ""Shampoo"", ""Freezer"", ""Room-darkening shades""]",$153.00,29,4.86,28,88
1360290629684082554,670739985,f,Bushwick,Brooklyn,40.6972339776131,-73.91393365550348,Private room in bed and breakfast,Private room,2,1.0,1.0,"[""Lock on bedroom door"", ""Washer"", ""Wifi"", ""Smoke alarm"", ""Kitchen"", ""TV""]",$45.00,0,,30,180
1231928660362309154,441653913,f,East Flatbush,Brooklyn,40.650987,-73.9201566,Entire rental unit,Entire home/apt,2,1.0,1.0,"[""Portable fans"", ""Laundromat nearby"", ""Fire extinguisher"", ""First aid kit"", ""Dedicated workspace"", ""Dining table"", ""Cooking basics"", ""Microwave"", ""Hair dryer"", ""Radiant heating"", ""Bathtub"", ""Gas stove"", ""TV"", ""Free street parking"", ""Air conditioning"", ""Cleaning products"", ""Exterior security cameras on property"", ""Carbon monoxide alarm"", ""Hot water"", ""Wifi"", ""Smoke alarm"", ""Hot water kettle"", ""Kitchen"", ""Private entrance"", ""Coffee maker"", ""Refrigerator"", ""Single oven""]",$81.00,0,,27,87
48996689,126503835,f,Williamsburg,Brooklyn,40.71606,-73.96585,Private room in rental unit,Private room,2,1.0,1.0,"[""Portable fans"", ""Babysitter recommendations"", ""Fire extinguisher"", ""Coffee maker: Keurig coffee machine, pour-over coffee"", ""Clothing storage: closet"", ""Single level home"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Dining table"", ""Cooking basics"", ""Pets allowed"", ""Stainless steel gas stove"", ""Hair dryer"", ""Exercise equipment"", ""Wine glasses"", ""Self check-in"", ""Essentials"", ""City skyline view"", ""Iron"", ""Central air conditioning"", ""Bed linens"", ""Stainless steel oven"", ""Private backyard \u2013 Fully fenced"", ""Body soap"", ""Paid washer \u2013 In unit"", ""Dishwasher"", ""Beach access \u2013 Beachfront"", ""Lockbox"", ""Patio or balcony"", ""Bathtub"", ""Central heating"", ""Barbecue utensils"", ""Free street parking"", ""Mini fridge"", ""Toaster"", ""Shower gel"", ""Cleaning products"", ""Dishes and silverware"", ""Hammock"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Hot water"", ""Wifi"", ""Smoke alarm"", ""Hot water kettle"", ""Kitchen"", ""Paid dryer \u2013 In unit"", ""Lock on bedroom door"", ""Refrigerator"", ""Waterfront"", ""Paid street parking off premises"", ""Hangers"", ""Record player"", ""Palmolive conditioner"", ""Shampoo"", ""Freezer"", ""Room-darkening shades""]",$172.00,32,4.78,30,90
1287085775345275722,356731,f,Prospect Heights,Brooklyn,40.67967080596507,-73.97298004478216,Private room in home,Private room,2,0.5,1.0,"[""Portable fans"", ""Laundromat nearby"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Microwave"", ""Wine glasses"", ""Long term stays allowed"", ""Iron"", ""Bed linens"", ""Body soap"", ""Radiant heating"", ""Clothing storage: walk-in closet and closet"", ""Paid parking lot off premises"", ""Bathtub"", ""TV"", ""Free street parking"", ""Mini fridge"", ""Air conditioning"", ""Shower gel"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Coffee maker: drip coffee maker, Nespresso"", ""Hot water"", ""Wifi"", ""Smoke alarm"", ""Hot water kettle"", ""Private entrance"", ""Conditioner"", ""Lock on bedroom door"", ""Refrigerator"", ""Housekeeping - available at extra cost"", ""Hangers"", ""Shampoo"", ""Room-darkening shades""]",$95.00,0,,24,358
22109695,35251433,f,Financial District,Manhattan,40.70856289247125,-74.0063563745035,Private room in rental unit,Private room,2,,,"[""Rice maker"", ""65 inch TV with Hulu, Netflix"", ""Paid dryer \u2013 In building"", ""Dining table"", ""Cooking basics"", ""Microwave"", ""Window AC unit"", ""Host greets you"", ""Wine glasses"", ""Essentials"", ""Bed linens"", ""Stainless steel oven"", ""Body soap"", ""Dishwasher"", ""Bathtub"", ""Induction stove"", ""Heating"", ""Paid washer \u2013 In building"", ""Shower gel"", ""Cleaning products"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Hot water"", ""Wifi"", ""Smoke alarm"", ""Kitchen"", ""Conditioner"", ""Refrigerator"", ""Shampoo"", ""Freezer""]",,0,,0,0
2057480,6145679,f,SoHo,Manhattan,40.7265,-74.0032,Entire rental unit,Entire home/apt,6,,2.0,"[""Air conditioning"", ""Indoor fireplace"", ""Washer"", ""Hot tub"", ""Wifi"", ""Smoke alarm"", ""Kitchen"", ""Essentials"", ""Heating"", ""TV""]",,4,5.0,0,0
1449263,7777902,f,Bedford-Stuyvesant,Brooklyn,40.68653,-73.93416,Entire rental unit,Entire home/apt,2,,1.0,"[""Kitchen"", ""Fire extinguisher"", ""Hangers"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Wifi"", ""Hair dryer"", ""Smoke alarm"", ""Heating"", ""Shampoo"", ""Essentials"", ""Iron""]",,1,5.0,0,0
623882710917814272,111158974,f,West Village,Manhattan,40.73142,-74.00587,Entire condo,Entire home/apt,2,1.0,1.0,"[""Portable fans"", ""Baking sheet"", ""Fire extinguisher"", ""First aid kit"", ""Coffee maker: Nespresso"", ""Extra pillows and blankets"", ""Cooking basics"", ""Coffee"", ""Hair dryer"", ""Window AC unit"", ""Essentials"", ""City skyline view"", ""Iron"", ""Long term stays allowed"", ""Bed linens"", ""Stainless steel oven"", ""Body soap"", ""Ceiling fan"", ""25 inch HDTV with HBO Max, Hulu, Netflix, Amazon Prime Video"", ""Exercise equipment: yoga mat"", ""Bathtub"", ""Gas stove"", ""Heating"", ""Cleaning products"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Hot water"", ""Wifi"", ""Smoke alarm"", ""Kitchen"", ""Courtyard view"", ""Refrigerator"", ""Hangers"", ""Books and reading material"", ""Freezer"", ""Room-darkening shades""]",$250.00,0,,30,365
1209393633569416487,559446215,t,SoHo,Manhattan,40.71919,-74.00102,Room in hotel,Private room,2,1.0,1.0,"[""Fire extinguisher"", ""First aid kit"", ""Dedicated workspace"", ""Pets allowed"", ""Hair dryer"", ""Host greets you"", ""Essentials"", ""Long term stays allowed"", ""Iron"", ""Bed linens"", ""TV with standard cable"", ""Body soap"", ""Heating"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Wifi"", ""Smoke alarm"", ""Private entrance"", ""Shampoo"", ""Safe"", ""Hangers"", ""Elevator""]",$182.00,32,4.72,28,293
740118115021378182,15617507,t,Morris Park,Bronx,40.85091,-73.86269,Entire guest suite,Entire home/apt,2,1.0,1.0,"[""Laundromat nearby"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Single level home"", ""Dining table"", ""Cooking basics"", ""Microwave"", ""Essentials"", ""Long term stays allowed"", ""Iron"", ""Bed linens"", ""Electric stove"", ""Free dryer \u2013 In building"", ""Heating"", ""TV"", ""Free street parking"", ""Paid washer \u2013 In building"", ""Air conditioning"", ""Shower gel"", ""Toaster"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Hot water"", ""Wifi"", ""Smoke alarm"", ""Private entrance"", ""Kitchen"", ""Paid parking on premises \u2013 1 space"", ""Coffee maker"", ""Refrigerator"", ""Hangers""]",$53.00,7,5.0,0,156
8274931,43633040,t,Astoria,Queens,40.76312,-73.92441,Entire rental unit,Entire home/apt,2,,1.0,"[""Baking sheet"", ""Oven"", ""Laundromat nearby"", ""Fire extinguisher"", ""First aid kit"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Dining table"", ""Cooking basics"", ""Coffee"", ""Microwave"", ""Hair dryer"", ""Exercise equipment: stationary bike"", ""Self check-in"", ""Essentials"", ""City skyline view"", ""Iron"", ""Long term stays allowed"", ""Bed linens"", ""TV with standard cable"", ""Body soap"", ""Dishwasher"", ""Stove"", ""Window guards"", ""Ceiling fan"", ""Lockbox"", ""Elevator"", ""Pool table"", ""Clothing storage: closet and dresser"", ""Bathtub"", ""Heating"", ""Outdoor furniture"", ""Paid washer \u2013 In building"", ""Air conditioning"", ""Shower gel"", ""Toaster"", ""Cleaning products"", ""Dishes and silverware"", ""Cleaning available during stay"", ""Carbon monoxide alarm"", ""Hot water"", ""Wifi"", ""Smoke alarm"", ""Hot water kettle"", ""Kitchen"", ""Conditioner"", ""Coffee maker"", ""Private patio or balcony"", ""Paid parking garage off premises"", ""Refrigerator"", ""Hangers"", ""Books and reading material"", ""Shampoo"", ""Freezer"", ""Room-darkening shades""]",,35,4.83,0,0
1069508594681767937,27181542,f,Upper East Side,Manhattan,40.76556084432931,-73.95602051906447,Entire rental unit,Entire home/apt,4,1.0,2.0,"[""Clothing storage: closet"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Dining table"", ""Cooking basics"", ""Microwave"", ""Pets allowed"", ""Hair dryer"", ""Wine glasses"", ""Essentials"", ""Long term stays allowed"", ""Iron"", ""Bed linens"", ""Dishwasher"", ""Stove"", ""Radiant heating"", ""Room-darkening shades"", ""Free street parking"", ""Air conditioning"", ""Toaster"", ""Cleaning available during stay"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Hot water"", ""Wifi"", ""Smoke alarm"", ""Hot water kettle"", ""Kitchen"", ""Stainless steel single oven"", ""Refrigerator"", ""Hangers"", ""Coffee maker: drip coffee maker"", ""Freezer"", ""50 inch HDTV with Fire TV""]",$294.00,0,,30,365
